relative_path,filename,extension,category,size_bytes,size_mb,modified_at
abc.tmp,abc.tmp,.tmp,Other,23,0.0,2026-07-11T11:35:56
Audit_Report.docx,Audit_Report.docx,.docx,Documents,32,0.0,2026-07-11T11:35:56
Audit_Report_Final.docx,Audit_Report_Final.docx,.docx,Documents,38,0.0,2026-07-11T11:35:56
Audit_Report_Final_Final.docx,Audit_Report_Final_Final.docx,.docx,Documents,44,0.0,2026-07-11T11:35:56
Backup.rar,Backup.rar,.rar,Archives,23,0.0,2026-07-11T11:35:56
Budget Copy.xlsx,Budget Copy.xlsx,.xlsx,Documents,31,0.0,2026-07-11T11:35:56
Budget.xlsx,Budget.xlsx,.xlsx,Documents,26,0.0,2026-07-11T11:35:56
chrome_setup.exe,chrome_setup.exe,.exe,Installers,23,0.0,2026-07-11T11:35:56
Course Files.zip,Course Files.zip,.zip,Archives,23,0.0,2026-07-11T11:35:56
Holiday.mp4,Holiday.mp4,.mp4,Videos,9,0.0,2026-07-11T11:35:56
IMG_1001 - Copy.jpg,IMG_1001 - Copy.jpg,.jpg,Images,35,0.0,2026-07-11T11:35:56
IMG_1001.jpg,IMG_1001.jpg,.jpg,Images,28,0.0,2026-07-11T11:35:56
IMG_1002.jpg,IMG_1002.jpg,.jpg,Images,28,0.0,2026-07-11T11:35:56
IMG_1003.jpg,IMG_1003.jpg,.jpg,Images,28,0.0,2026-07-11T11:35:56
Lecture.mp4,Lecture.mp4,.mp4,Videos,9,0.0,2026-07-11T11:35:56
Logo.png,Logo.png,.png,Images,24,0.0,2026-07-11T11:35:56
Meeting Notes.txt,Meeting Notes.txt,.txt,Documents,32,0.0,2026-07-11T11:35:56
Meeting.mp3,Meeting.mp3,.mp3,Audio,9,0.0,2026-07-11T11:35:56
New Text Document.txt,New Text Document.txt,.txt,Documents,23,0.0,2026-07-11T11:35:56
notes_old.txt,notes_old.txt,.txt,Documents,23,0.0,2026-07-11T11:35:56
office_setup.exe,office_setup.exe,.exe,Installers,23,0.0,2026-07-11T11:35:56
Photos.zip,Photos.zip,.zip,Archives,23,0.0,2026-07-11T11:35:56
Presentation.pptx,Presentation.pptx,.pptx,Documents,32,0.0,2026-07-11T11:35:56
Resume (1).pdf,Resume (1).pdf,.pdf,Documents,29,0.0,2026-07-11T11:35:56
Resume Final.pdf,Resume Final.pdf,.pdf,Documents,31,0.0,2026-07-11T11:35:56
Resume.pdf,Resume.pdf,.pdf,Documents,25,0.0,2026-07-11T11:35:56
Screenshot (1).png,Screenshot (1).png,.png,Screenshots,28,0.0,2026-07-11T11:35:56
Screenshot (2).png,Screenshot (2).png,.png,Screenshots,28,0.0,2026-07-11T11:35:56
Screenshot (3).png,Screenshot (3).png,.png,Screenshots,28,0.0,2026-07-11T11:35:56
Screenshot 2026-06-18.png,Screenshot 2026-06-18.png,.png,Screenshots,35,0.0,2026-07-11T11:35:56
Screenshot 2026-07-01.png,Screenshot 2026-07-01.png,.png,Screenshots,35,0.0,2026-07-11T11:35:56
Untitled.docx,Untitled.docx,.docx,Documents,23,0.0,2026-07-11T11:35:56
Vacation - Copy.png,Vacation - Copy.png,.png,Images,35,0.0,2026-07-11T11:35:56
Vacation.png,Vacation.png,.png,Images,28,0.0,2026-07-11T11:35:56
vlc.exe,vlc.exe,.exe,Installers,23,0.0,2026-07-11T11:35:56
